"Stop_Id";"Stop_Seq";"Route";"Address";"Intersect";"Loc_id";"Lon";"Lat"
"4";"11";"1";"";"Maple Avenue @ Oakland Avenue";"416170TS01";"-79.2608018783112";"42.9890823354541"
"5";"12";"1";"";"Wade Street @ Oakland Avenue";"416078TS01";"-79.2614580451139";"42.9871007753739"
"6";"13";"1";"";"Oakland Avenue @ Drew Street";"416076TS01";"-79.2614617313344";"42.9855634859205"
"7";"14";"1";"";"Oakland Avenue @ Lincoln Street";"416075TS01";"-79.2614641832618";"42.9841415543773"
"8";"15";"1";"";"Lincoln Street @ Elmwood Avenue";"416064TS01";"-79.2624879762873";"42.9834718762327"
"9";"16";"1";"";"Windsor Street @ Mayfair Drive";"416052TS01";"-79.2640981569642";"42.9817134691489"
"10";"17";"1";"";"Windsor Street @ Joanne Court";"416032TS01";"-79.2662788660657";"42.981482695071"
"11";"18";"1";"";"Riverside Drive @ Windsor Street";"416002TS01";"-79.269504727726";"42.9820091009293"
"12";"19";"1";"";"Riverside Drive @ Waterview Court";"406091TS01";"-79.2709709255675";"42.9805665779064"
"13";"22";"1";"";"Arthur Street @ Riverside Drive";"405986TS01";"-79.2729566175804";"42.9763679617913"
"14";"23";"1";"";"Broadway @ Bosnich Avenue";"415904TS01";"-79.2705502558516";"42.9745521829262"
"15";"24";"1";"";"Broadway @ Kilgour Avenue";"415924TS01";"-79.2680504228117";"42.9745698023018"
"16";"25";"1";"";"Martin Street @ Marshall Avenue";"415931TS01";"-79.2668833626871";"42.9720803146046"
"17";"26";"1";"";"Martin Street @ Cutress Avenue";"415911TS01";"-79.2695704784515";"42.972059240674"
"18";"28";"1";"";"St. George Street @ Roach Avenue";"405899TS01";"-79.2714088588202";"42.9697323213043"
"19";"29";"1";"";"St. George Street @ Marshall Avenue";"415829TS01";"-79.2675130694514";"42.969765728387"
"20";"30";"1";"";"Santone Avenue @ St. George Street";"415940TS01";"-79.2651577014567";"42.9710930136214"
"21";"31";"1";"";"St. George Street @ Clifford Avenue";"415952TS01";"-79.2639021444317";"42.9723430564898"
"22";"32";"1";"";"Clifford Avenue @ Broadway";"415954TS01";"-79.2639908114559";"42.9744184148017"
"23";"33";"1";"";"St. George Street @ Broadway";"415974TS01";"-79.2610861658619";"42.9745981911493"
"24";"34";"1";"";"Iron Street @ Ontario Road";"425944TS01";"-79.2530834060501";"42.9745978242131"
"25";"35";"1";"";"Seventh Street @ King Street";"425956TS01";"-79.2513107938733";"42.9758121191706"
"26";"36";"1";"";"Sixth Street @ King Street";"425957TS01";"-79.251288627746";"42.9773527411525"
"27";"37";"1";"";"King Street @ Fourth Street";"426050TS01";"-79.2512679961001";"42.9793623025455"
"28";"38";"1";"";"King Street @ Second Street";"426052TS01";"-79.2512548814875";"42.9814881947476"
"30";"9";"1";"";"Denistoun Street @ Maple Avenue";"426111TS01";"-79.2567077428022";"42.9896048552886"
"31";"43";"1";"";"King Street @ Division Street";"426162TS01";"-79.2507714696973";"42.9906194563501"
"32";"44";"1";"";"Division Street @ Cross Street";"426172TS01";"-79.2491132852697";"42.9909127018215"
"33";"10";"1";"195 Maple Avenue";"";"416180TS01";"-79.2596526547142";"42.9892314372154"
"34";"20";"1";"281 Riverside Drive";"";"406090TS01";"-79.2716250468515";"42.979734113371"
"35";"21";"1";"303 Riverside Drive";"";"405988TS01";"-79.2725389076843";"42.9784586883374"
"36";"6";"1";"145 Lincoln Street";"";"426044TS01";"-79.2531185386971";"42.9835757056666"
"37";"7";"1";"230 Denistoun Street";"";"426016TS01";"-79.2567437120008";"42.9851184445087"
"38";"8";"1";"200 Denistoun Street";"";"426019TS01";"-79.2567288205316";"42.9876726723301"
"39";"39";"1";"";"King Street @ First Street";"426053TS01";"-79.2512468045738";"42.9828027959587"
"40";"1";"1";"160 East Main Street";"";"426195TS01";"-79.246582695785";"42.9932101852382"
"42";"3";"2";"";"West Main Street @ Denistoun Street";"426112TS01";"-79.256702851579";"42.9910446427192"
"43";"4";"2";"";"Fitch Street @ Prince Charles Drive North";"416166TS01";"-79.2625321141823";"42.9941746075614"
"44";"10";"2";"";"Bridlewood Drive @ Graystone Crescent";"406321TS01";"-79.2788372164499";"43.0077560489094"
"45";"13";"2";"";"Woodlawn Road @ Silvan Drive";"406336TS01";"-79.2775687516681";"43.0128990561848"
"46";"30";"2";"";"West Main Street @ Denistoun Street";"426113TS01";"-79.2562201779825";"42.9911062892842"
"47";"31";"2";"";"King Street @ Division Street";"426162TS01";"-79.2507714696973";"42.9906194563501"
"48";"32";"2";"";"Division Street @ Cross Street";"426172TS01";"-79.2491132852697";"42.9909127018215"
"49";"8";"2";"10 Bridlewood Drive";"";"406237TS01";"-79.2775590316278";"43.0043045820481"
"50";"28";"2";"235 Fitch Street";"";"416116TS01";"-79.2682282383105";"42.9944849114496"
"51";"29";"2";"200 Fitch Street";"";"416126TS01";"-79.2667291311052";"42.9944877535709"
"52";"9";"2";"";"Bridlewood Drive @ Chapel Hill Crescent";"406239TS01";"-79.2775771270926";"43.0065349960378"
"53";"18";"2";"81 Chippawayan Trail";"";"416318TS01";"-79.2673415412472";"43.0141259365259"
"54";"11";"2";"";"Bridlewood Drive @ Graystone Crescent";"406323TS01";"-79.2790840488533";"43.0096883727229"
